lyrics,title
"So who's that girl there?
I wonder what went wrong
So that she had to roam the streets
She don't do major credit cards
I doubt she does receipts
It's all not quite legitimate

And what a scummy man
Just give him half a chance
I bet he'll rob you if he can
Can see it in his eyes, yeah
That he's got a driving ban
Amongst some other offences

And I've seen him with girls of the night
And he told Roxanne to put on her red light
They're all infected but he'll be alright
Cause he's a scumbag, don't you know
I said he's a scumbag, don't you know!

Although you're trying not to listen
I bet your eyes are staring at the ground
She makes a subtle proposition
Sorry love I'll have to turn you down

And oh he must be up to something
Want half a chance to show he's more than likely
I've got a feeling in my stomach
I start to wonder what his story might be
What his story might be

They said it changes when the sun goes down
And they said it changes when the sun goes down
And they said it changes when the sun goes down
Around here
Around

And look here comes a Ford Mondeo
Isn't he Mister Inconspicuous
And he don't have to say 'owt
She understands she's here to get picked up

And she's delighted when she sees him
Pulling in and giving her the eye
Because she must be fucking freezing
Scantily clad beneath the clear night sky
She don't stop in the winter, no and...

They said it changes when the sun goes down
And they said it changes when the sun goes down
And they said it changes when the sun goes down
Around here

They said it changes when the sun goes down
And they said it changes when the sun goes down
And they said it changes when the sun goes down
Around here
Around here

What a scummy man
Just give him half a chance
I bet he'll rob you if he can
Can see it in his eyes that he's got a nasty plan
I hope you're not involved at all",Scummy
"Well, it's ever so funny
'Cause I don't think you're special, I don't think you're cool
You're just probably alright
But under these lights you look beautiful
And I'm struggling
I can't see through your fake tan
Yeah, and you know it for a fact
That everybody's eating out of your hands

But what do you know?
Oh, you know nothing
Yeah, but I'll still take you home
Oh, yeah, I'll still take you home
So what do you know?
Said you don't know nothing

Well, fancy seeing you in here
You're all tarted up and you don't look the same
Well, I haven't seen you since last year
Yeah, surprisingly you have forgotten my name
But you know it
Yeah, and you knew it all along
Oh, and you say you have forgotten
But you're fibbing, go on, tell me I'm wrong

So what do you know?
Oh, you know nothing
Yeah, but I'll still take you home
Oh, yeah, I'll still take you home
So what do you know?
Oh, you don't know nothing, no

So what do you know?
Yeah, you don't know nothing
Yeah, but I'll still take you home
Oh, yeah, I'll still take you home
I said what do you know?
Oh, you don't know nothing, no

I fancy you with a passion
You're a Topshop princess, a rockstar too
But you're a fad, you're a fashion
And I'm having a job trying to talk to you
But it's alright
Yeah, I'll put it on one side
'Cause everybody's looking
You've got control of everyone's eyes, including mine",Still Take You Home
"Oh baby, I'm wanting to do you a swap
I'll give you anything, yeah
In return for the noises you've got
And I can see you want to be attended to
Just count to twenty-nine and I'll attend to you
Oh for sure... well certainly, yeah yeah yeah

Wavin' bye to the train or the bus
I'm ever so worried because...
I don't want to get all forgotten...

So very comfortable..
Don't really need to put up my feet,
And even in fat sam's grand slam,
Can't see it being easier to speak.
when you've karate-kicked your way to someone new
And I'm a memory and don't know what to do
All on his own...
Collecting his dole n' stuff

Wavin' bye to the train or the bus
I'm ever so worried because...
I don't want to get all forgotten...
Cause we know
Yeah, we know-oh-oh-oh
Oh we know, a woah-oh-oh

Don't know where we're going, baby
I s'pose it depends
But even if we're all far apart
We can all come back and all be fine
We'll be able to be together again

Be together again
Be together again
Be together again
...
Everybody will be together again!",Wavin' Bye To The Train Or The Bus
"[Verse]
Stop making the eyes at me,
I'll stop making my eyes at you.
What it is that surprises me is that I don't really want you to

And your shoulders are frozen (as cold as the night)
Oh, but you're an explosion (you're dynamite)
Your name isn't Rio, but I don't care for sand and lighting
The fuse might result in a bang b-b-bang-go

[Chorus:]
I bet that you look good on the dance floor
I don't know if you're looking for romance or...
Don't know what you're looking for
I said I bet that you look good on the dance floor
Dancing to electro-pop like a robot from 1984
Well, from 1984!

[Verse]
I wish you'd stop ignoring me because it's sending me to despair,
Without a sound yeah you're calling me and I don't think it's very fair

That your shoulders are frozen (as cold as the night)
Oh, but you're an explosion (You're dynamite)
Your name isn't Rio, but I don't care for sand and lighting
The fuse might result in a bang with a bang-go

[Chorus]

Oh, there ain't no love, no Montagues or Capulets
Are just banging tunes and DJ sets and...
Dirty dance floors, and dreams of naughtiness!

Well,

[Chorus]",I Bet You Look Good On The Dancefloor
"Won't somebody let me out?
Don't want to stick around no more
Sick of looking at you strange
Sick of sticking to the floor

Not one of you has got an ounce of style in ya
Said not one of you, no

Well fuck it all and break your nose
If they keep on pushing you around
If they keep on stepping on your toes
And pick you up when you fall down

Not one of you has got an ounce of style in ya
Said not one of you, no

Not one of you has got an ounce of style in ya, no
Said not one of you, no",Stickin' To The Floor
"Space invaders flying home
Yeah, they're going to hit the sack
And they are prob'ly going to die getting high
Cause they're mixing crazy moments with the crack
And she's kissing all the boys
She's to clever to be slack
But she's bound to go away for a day
In July, so she won't be coming back

Baby, baby, baby
The good old days have died
Baby, baby, baby
Now won't you dry your pretty eyes
Baby, baby, baby
Your good old days are taxed
So come on!

Spot big bell bottom chords
And a matching with a hat
And you're a rule breaker, baby
Can't you see me standing
Only in your way to hit the sack?

And she's kissing all the boys
She's to clever to be slack
But she's bound to go away for a day
In July, so she won't be coming back

Baby, baby, baby
Your good old days have died
Baby, baby, baby
Won't you dry your pretty eyes
Baby, baby, baby
Your good old days are taxed
So come on!",Space Invaders
"I so wanted it long but she cut it short
And now I'm catching a cold
I told you not but no crack in the doobie
But it was already rolled

Oh, I turned down my lights
And my curtains weren't closed
I turned down my lights
And my curtains weren't closed
Oh well, I turned down my lights
And my curtains weren't closed last night
Oh baby, I must be mad

Well, I don't care about your massage oils
It's got my skin going red
Cause I'm a mad mother-fucker
With my curtains open
Sitting tucked up in bed

I turned down my lights
And my curtains weren't closed
I turned down my lights
And my curtains weren't closed
Oh well, I turned down my lights
And my curtains weren't closed last night
Oh baby, I must be mad

I turned down my lights
And my curtains weren't closed
Oh well, I turned down my lights
And my curtains weren't closed
Oh yeah, well I turned down my lights
And my curtains weren't closed last night
Oh baby, I must be mad",Curtains Closed
"She's the victim, well fuck all that we ain't goin home today
And she's been too much magic beans to walk all men away
And she's been eatin' too much magic beans to walk all men away
Put up your picture and the playful love will get around
Yeah but we'll get around yeah
Yeah but we'll get around

Well everyones felling alright
I won't be sleeping today
No I won't be sleeping tonight

We're felling silly, I'm feeling oh so sick
And I can't see you through the smoke because the clouds so thick
And theres a fire as your dancing to the disco sound
Put up your picture baby and love will get around
Yeah but we'll get around yeah
But yeah we'll get around

Everyone's feeling alright
I won't be sleeping today
And I won't be sleeping tonight",Ravey Ravey Ravey Club
"Anticipation has the habit to set you up
For disappointment in evening entertainment but
Tonight there'll be some love
Tonight there'll be a rawkus, regardless of what's gone before

I want to see all of the things that we've already seen
The lairy girls hung out the window of the limousine
And of course its fancy dress
And they're all looking quite full on
In bunny ears and devil horns

Anticipation has the habit to set you up
For disappointment in evening entertainment but
Tonight there'll be some love
Tonight there'll be a rawkus, regardless of what's gone before

I want to see all of the things that we've already seen
I want to see you take the jackpot out the fruit machine
And put it all back in
You've got to understand it you can never beat the bandit, no

And she won't be surprised and she won't be shocked
When she's pressed the star after she's pressed unlock
And there's verse and chapter sat in her inbox
And all that it says is that you've drank a lot
You should bear that in mind tonight
Bear that in mind
You should bear that in mind tonight
Bear that

You can pour your heart out but her reasoning will block
Owt you send her after nine o'clock

Anticipation has the habit to set you up
For disappointment in evening entertainment but
Tonight there'll be some love
Tonight there'll be a rawkus, regardless of what's gone before

And she won't be surprised and she won't be shocked
When she's pressed the star after she's pressed unlock
And there's verse and chapter sat in her inbox
And all that it says is that you've drank a lot
You should bear that in mind tonight
Bear that in mind
You should bear that in mind tonight
Bear that

You can pour your heart out around 3 o'clock
When the 2 for 1's undone the writers block",The View From The Afternoon
"One look sends it coursing through the veins oh how the feeling races
Back up to their brains to form expressions on their stupid faces

They don't want to say hello
Like I want to say hello
Well, my heart beats at its peak,
When you're coming up to speak

And oh I'm so tense, never tenser
Could all go a bit Frank Spencer?
And I'm talking gibberish,
Tip of the tongue but I can't deliver it

...Properly, oh it's all getting on top of me
And if it weren't this dark you'd see how red my face has gone, yeah

Everybody's trying to crack the jokes and that to make you smile
Those that claim that they're not showing off are drowning in denial
But they're not half as bad as me say anything and I'll agree
'Cause when it comes to acting up, I'm sure I could write the book

And now that you're more than a part in the play
It's slightly easier to think what to say
You had us all standing on our heads
Doing our best tricks, yeah

Never again, never again, oh, will there be another one quite as desirable as you

One look sends it coursing through the veins oh how the feeling races
Back up to their brains to form expressions on their stupid faces",You Probably Couldn't See For The Lights But You Were Staring Straight At Me
"Up rolls a riot van
And sparks excitement in the boys
But the policemen look annoyed
Perhaps these are ones they should avoid

Got a chase last night from men with truncheons dressed in hats
We didn't do that much wrong, still ran away though for the laugh, just for the laugh

""And please just stop talking
'Cause they won't find us if you do.
Oh, those silly boys in blue.
Well, they won't catch me and you.""

""Have you been drinking, son? You don't look old enough to me.""
""I'm sorry, officer, is there a certain age you're supposed to be? 'Cause nobody told me.""

And up rolls the riot van
And these lads just wind the coppers up
They ask why they don't catch proper crooks
They get their address and their names took
But they couldn't care less

Thrown in the riot van
And all the coppers kicked him in
And there was no way he could win
Just had to take it on the chin",Riot Van
"Ask if we can have six in, if not we'll have to have 2
You're coming up our end aren't you? So I'll get one with you
Oh won't he let us have six in? especially not with the food
He coulda just told us no though, he dint have to be rude

You see her in the green dress? She talked to me at the bar
How come its already two pound fifty? We've only gone about a yard
Dint ya see she were gorgeous, she was beyond belief
But this lad at the side drinking a Smirnoff ice came and paid for her tropical Reef

And I'm sitting going backwards, and I didn't want to leave
I said, ""It's High Green mate, via Hillsborough please!""

Well how funny was that sketch earlier, up near that taxi rank
Oh no you will have missed it, think it was when you went to the bank
These two lads squaring up proper shoutin', 'bout who was next in the queue
The kind of thing that would seem so silly but not when they've both had a few

Well calm down temper temper, you shouldn't get so annoyed
You're acting like a silly little boy
They wanted to be men and do some fighting in the street
He said no surrender, no chance of retreat

And so why are we in a taxi?
'Cause I didn't want to leave
I said ""It's High Green Mate, via Hillsborough please!""

Drunken plots hatched to jump it, ask around are ya sure?
Went for it but the red light was showing
And the red light indicates doors are secured",Red Light Indicates Doors Are Secured
"I've seen your eyes as they fix on me what is he doing what on earth is the
Plan has he got one
You better give me some pointers since you are the big rocket launcher and
I'm just the shot gun,
I ain't got no dollar signs in my eyes that might be a surprise but its true
I'm not like you and I don't want your advice or your praise or to move in
The ways you do, and I never will.

'Cause all you people are vampires
And all your stories are stale
And though you pretend to stand by us
I know you're certain we'll fail

I've seen you're eyes as they fix on me full of confusion your snarl is just
So condescending
Trying to explain that we're on to a win if the fee we get in near recoups
What we're spending
He said I can't believe that you drove all that way well how much did they
Pay ya how much did they pay ya, You'd have been better to stay round our Way
Thinking about things but not actually doing things

'Cause all you people are vampires
And all your stories are stale
And though you pretend to stand by us
I know you're certain we'll fail

'Cause all you people are vampires
And all your stories are stale
And though you pretend to stand by us
I know you're certain we'll fail

All you people are vampires!",Perhaps Vampires Is A Bit Strong But...
"I said, ""Who's that girl there?""
I wonder what went wrong
So that she had to roam the streets
She don't do major credit cards
I doubt she does receipts
It's all not quite legitimate

And what a scummy man
Just give him half a chance
I bet he'll rob you if he can
Can see it in his eyes,
Yeah, that he's got a driving ban
Amongst some other offences

And I've seen him with girls of the night
And he told Roxanne to put on her red light
They're all infected but he'll be alright
'Cause he's a scumbag, don't you know?
I said he's a scumbag, don't you know?

Although you're trying not to listen
Avert your eyes and staring at the ground
She makes a subtle proposition,
""I'm sorry, love, I'll have to turn you down""

He must be up to something
What are the chances? Sure it's more than likely
I've got a feeling in my stomach
I start to wonder what his story might be
What his story might be, yeah

'Cause they said it changes when the sun goes down
Yeah, they said it changes when the sun goes down
They said it changes when the sun goes down
Around here
Around here

Look here comes a Ford Mondeo
Isn't he Mister Inconspicuous?
And he don't even have to say 'owt
She's in the stance ready to get picked up

Bet she's delighted when she sees him
Pulling in and giving her the eye
Because she must be fucking freezing
Scantily clad beneath the clear night sky
It doesn't stop in the winter, no

And they said it changes when the sun goes down
Yeah, they said it changes when the sun goes down
And they said it changes when the sun goes down
Around here

Well, they said it changes when the sun goes down
Over the river going out of town
And they said it changes when the sun goes down
Around here
Around here

And what a scummy man
Just give him half a chance
I bet he'll rob you if he can
Can see it in his eyes that he's got a nasty plan
I hope you're not involved at all",When The Sun Goes Down
"Last night these two bouncers and one of em's alright
The other one's the scary
And his way or no way, totalitarian

He's got no time for you
Looking or breathing
How he don't want you to
So step out the queue
He makes examples of you
And there's nowt you can say
Behind they go through to the bit where you pay

And you realize then that it's finally the time
To walk back past ten thousand eyes in the line

And you can swap jumpers and make another move
Instilled in your brain you've got something to prove
To all the smirking faces and the boys in black
Why can't they be pleasant?
Why can't they have a laugh?

He's got his hand in your chest
He wants to give you a duff
Well, secretly I think he wants it all to kick off
They want arms flying everywhere and
Bottles as well it's just
Something to talk about
A story to tell you

Well, I'm so glad they turned us all away we'll put it down to fate
I thought a thousand million things that I would never say this morning
Got too deep, but how deep is too deep?

This town's a different town today
Said, this town's a different town to what it was last night
You couldn't have done that on a Sunday

That girl's a different girl today
Said, that girl's a different girl to what you kissed last night
You couldn't have done that on a Sunday
Of course not

Well, I'm so glad they turned us all away we'll put it down to fate
I thought a thousand million things that I could never think this morning
Got too deep, but how deep is too deep?

[2x]
Last night what we talked about
It made so much sense
But now the haze has ascended
It don't make no sense anymore",From The Ritz To The Rubble
"Sat at the side of the pool at one of your houses
With wet white trousers on
And worlds collide as the evening continues
The dignity fucks off

Her brother's gone off to the strippers
To make up for all the lost time
She could have been one of the bitches
But she's actually alright

(Cigarette smoker)
I'm sorry, but we're all unsure
How much you've had but
(We think that you oughta) maybe not have any more

A country home, even if we really tried
What if it's just surprises now?
And I bet your dad would like to give us all a slap
When are your parents back? d'you know?

Well I never came from no ghetto
But it wasn't nowhere near here
Well-spoken girls in stilletoes
Aren't something to fear

(Cigarette smoker)
I'm sorry, but we're all unsure
How much you've had but
(We think that you oughta) maybe not have any more

[Instrumental]

(Cigarette smoker)
I'm sorry, but we're all unsure
How much you've had but
(We think that you oughta) maybe not have any more

(Cigarette smoker)
Cigarette smoke doesn't hide
As well as you think
And you'd think that it oughta
Act as the perfect disguise",Cigarette Smoker Fiona
"He's pining for her
In a people carrier
There might be buildings and pretty things to see like that
But architecture won't do
Although it might say a lot about the city or town
I don't care what they've got keep on turning them down
It don't say the funny things she does
Don't even try and cheer him up, because
It just won't happen

He's got the feeling again
This time on the aeroplane
There might be tellys in the back of the seats in front
But Rodney and Del won't do
Although it might take your mind off the aches and the pains
Laugh when he falls through the bar
But you're feeling the same
'Cause she isn't there to hold your hand
She won't be waiting for you when you land

It feels like she's just nowhere near
You could well be out on your ear
This thought comes closely followed by the fear
And the thought of it
Makes you feel a bit
Ill

Yesterday I saw a girl
Who looked like someone you might knock about with
And almost shouted
And then reality kicked in within us
It seems as we become the winners
You lose a bit of summat
And half wonder if you won it at all

And don't say 'owt 'cause you've got no idea
And she's still nowhere near
And the thought comes closely followed by the fear
And the thought of it
Makes you feel a bit
...Ill

Despair in the departure lounge
It's one and they'll still be around at three
No signal and low battery
What's happened to me",Despair In The Departure Lounge
"Lady, where has your love gone?
I was looking but can't find it anywhere
They always offer when there's loads of love around
But, when you're short of some, it's nowhere to be found

Well, I know your game, you told him yesterday
No chance, you'll get nothin' from me
But now she's there, you're there, everybody's there
He's in turmoil, as puzzled as can be
Just like me

Let's go down, down, low down
Where I know I should not go
Oh and she thinks she's the one
But she's just one in 24
And just 'cause everybody's doin' it
Does that mean that I can, too?

Lady, where has your love gone?
It was the anti-septic to the sore
To hold you by the hand
Must be first, be in demand
How he longs for you to long for him once more
Just once more

Let's go down, down, low down
Where I know I should not go
Oh and she thinks she's the one
But she's just one in 24
And just 'cause everybody's doin' it
Does that mean that I can, too? Oh...

Her eyes went down and cut you up
And there's nothing like a dirty look from
The one you want, or the one you've lost

An ache in your soul is everybody's goal
To get what they can't have
That's why you're after her
And that's why she's after him
But sayin' it wont change a thing
And they'll realise that it wont change a thing
Realise that it wont change a thing",No Buses
"We all want someone to shout for
Yeah, everyone wants somebody to adore
But your heroes aren't what they seem
When you've been where we've been

Have I done something to trigger
The funny looks and the sniggers?
Are they there at all, or is it just paranoia?

Everybody's got their box
Doing what they're told
You pushed my faith near being lost
But we'll stick to the guns
Don't care if it's marketing suicidal
Won't crack or compromise
Your derides or individes
Will never unhinge us

And there's a couple of hundred
Think they're Christopher Columbus
But the settlers had already settled
Here long before ya

Just cause we're having a say-so
Not lining up to be playdoh
Oh, in five years time, will it be
""Who the fuck's Arctic Monkeys?""

'Cause everybody's got their box
Doing what they're told
You pushed my faith near being lost
But we'll stick to the guns
Don't care if it's marketing suicidal
Won't crack or compromise
Your derides or individes
Will never unhinge us

[Instrumental]

(La la la la la, la la)
(La la la la la, la la)
(La la la la la, la la)

All the thoughts that I just said
Will linger round and multiply in their head
Not that mad to start with
I'm not angry, I'm just disappointed

It's not you it's them that are wrong
Tell 'em to take out their tongues
Tell 'em to take out their tongues...

It's not you it's them that are wrong
Tell 'em to take out their tongues
Tell 'em to take out their tongues
And bring on the backlash!

It's not you it's them that are wrong
Tell him to take out his tongue
Tell him to take out his tongue
It's not you it's them that's the fake
I won't mess with your escape
Is this really your escape?",Who The FucK Are Arctic Monkeys?
"Well this is a good idea,
He wouldn't do it if it wasn't,
He wouldn't do it if it wasn't one.
Well my friend fancies you,
Oh what a way to begin it all,
You said, ""It's always exciting words to hear""

And we woke up together not quite realising how,
Awkwardly stretching and yawning,
Its always hard in the morning,

And I suppose that's the price you pay,
Well oh it isn't what it was,
She's thinking he looks different today,
And now there's nothing left to guess now,

You left before the lights came on,
Because they didn't want to ruin,
What it was that was brewing,
Before they absolutely had to,
And how can you wake up,
With someone you don't love?
And not feel slightly fazed by it,
Oh, he had a struggle,

And they woke up together not quite realising how,
Awkwardly stretching and yawning,
It's always hard in the morning,

And I suppose that's the price you pay,
Well oh it isn't what it was,
She's thinking he looks different today,
And now there's nothing left to guess now,

Quick, let's leave, before the lights come on,
'Cos then you don't have to see,
'Cos then you don't have to see,
What you've done...

Quick, let's leave, before the lights come on,
'Cos then you don't have to see,
'Cos then you don't have to see,
What you've done...

I'll walk you up, what time's the bus come? [repeat]",Leave Before The Lights Come On
